Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
Design Engineer ,KONE,1-5yrs  ,"4,57,880",2.0,8.0,4.3,6.3k
Senior Engineer ,KONE,4-8yrs  ,"8,52,678",5.0,11.5,4.3,6.3k
Sales Engineer ,KONE,1-6yrs  ,"4,54,231",2.0,9.5,4.3,6.3k
Senior Sales Engineer ,KONE,4-13yrs  ,"9,79,006",5.3,13.1,4.3,6.3k
Process Agent ,KONE,4-7yrs  ,"3,90,172",3.0,6.4,4.3,6.3k
Technical Support Engineer ,KONE,1-5yrs  ,"3,75,628",2.0,8.5,4.3,6.3k
Maintenance Executive ,KONE,4-10yrs  ,"3,97,042",2.2,5.4,4.3,6.3k
Elevator Technician ,KONE,3-10yrs  ,"4,14,154",1.6,9.2,4.3,6.3k
Junior Process Agent ,KONE,1-5yrs  ,"2,97,994",1.8,4.2,4.3,6.3k
Installation Engineer ,KONE,1-12yrs  ,"5,90,689",2.4,10.0,4.3,6.3k
Design Engineer ,Microsoft-Corporation,1-5yrs  ,"30,50,624",2.1,1.2,4.1,4.9k
Senior Engineer ,Microsoft-Corporation,4-8yrs  ,"18,87,018",5.2,30.0,4.1,4.9k
Sales Engineer ,Microsoft-Corporation,1-6yrs  ,"38,27,677",15.6,60.0,4.1,4.9k
Senior Sales Engineer ,Microsoft-Corporation,4-13yrs  ,"59,34,372",15.0,1.1,4.1,4.9k
Process Agent ,Microsoft-Corporation,4-7yrs  ,"39,20,092",18.0,55.0,4.1,4.9k
Technical Support Engineer ,Microsoft-Corporation,1-5yrs  ,"39,08,840",15.0,60.0,4.1,4.9k
Maintenance Executive ,Microsoft-Corporation,4-10yrs  ,"15,60,512",40.0,25.0,4.1,4.9k
Elevator Technician ,Microsoft-Corporation,3-10yrs  ,"39,20,508",13.0,65.0,4.1,4.9k
Junior Process Agent ,Microsoft-Corporation,1-5yrs  ,"39,82,696",17.5,65.0,4.1,4.9k
Installation Engineer ,Microsoft-Corporation,1-12yrs  ,"24,63,400",13.0,35.0,4.1,4.9k
Design Engineer ,Hyatt-Regency,1-5yrs  ,"2,37,291",45.0,5.5,4.1,4k
Senior Engineer ,Hyatt-Regency,4-8yrs  ,"3,64,223",1.1,7.3,4.1,4k
Sales Engineer ,Hyatt-Regency,1-6yrs  ,"2,90,912",20.0,13.0,4.1,4k
Senior Sales Engineer ,Hyatt-Regency,4-13yrs  ,"2,29,510",1.1,4.0,4.1,4k
Process Agent ,Hyatt-Regency,4-7yrs  ,"3,00,560",20.0,14.4,4.1,4k
Technical Support Engineer ,Hyatt-Regency,1-5yrs  ,"7,04,938",3.5,11.0,4.1,4k
Maintenance Executive ,Hyatt-Regency,4-10yrs  ,"4,13,365",2.0,6.5,4.1,4k
Elevator Technician ,Hyatt-Regency,3-10yrs  ,"2,99,651",1.0,7.3,4.1,4k
Junior Process Agent ,Hyatt-Regency,1-5yrs  ,"2,30,412",1.2,3.5,4.1,4k
Installation Engineer ,Hyatt-Regency,1-12yrs  ,"3,06,599",1.1,5.0,4.1,4k
Design Engineer ,Honeywell-Technology-Solutions,1-5yrs  ,"19,33,149",10.0,27.3,4.1,2.8k
Senior Engineer ,Honeywell-Technology-Solutions,4-8yrs  ,"11,89,950",5.8,18.7,4.1,2.8k
Sales Engineer ,Honeywell-Technology-Solutions,1-6yrs  ,"8,43,959",3.4,16.0,4.1,2.8k
Senior Sales Engineer ,Honeywell-Technology-Solutions,4-13yrs  ,"16,55,253",5.2,37.0,4.1,2.8k
Process Agent ,Honeywell-Technology-Solutions,4-7yrs  ,"26,29,770",14.9,38.8,4.1,2.8k
Technical Support Engineer ,Honeywell-Technology-Solutions,1-5yrs  ,"23,11,189",12.0,31.5,4.1,2.8k
Maintenance Executive ,Honeywell-Technology-Solutions,4-10yrs  ,"18,45,904",10.0,26.0,4.1,2.8k
Elevator Technician ,Honeywell-Technology-Solutions,3-10yrs  ,"25,88,528",13.6,35.0,4.1,2.8k
Junior Process Agent ,Honeywell-Technology-Solutions,1-5yrs  ,"7,36,096",3.0,14.5,4.1,2.8k
Installation Engineer ,Honeywell-Technology-Solutions,1-12yrs  ,"20,03,772",12.8,27.0,4.1,2.8k
Design Engineer ,Panasonic-Life-Solutions,1-5yrs  ,"7,87,535",3.8,12.0,4.3,2.6k
Senior Engineer ,Panasonic-Life-Solutions,4-8yrs  ,"11,63,384",4.8,18.2,4.3,2.6k
Sales Engineer ,Panasonic-Life-Solutions,1-6yrs  ,"18,69,517",9.1,28.4,4.3,2.6k
Senior Sales Engineer ,Panasonic-Life-Solutions,4-13yrs  ,"3,39,019",2.0,5.2,4.3,2.6k
Process Agent ,Panasonic-Life-Solutions,4-7yrs  ,"4,53,180",2.4,6.5,4.3,2.6k
Technical Support Engineer ,Panasonic-Life-Solutions,1-5yrs  ,"15,04,237",9.6,19.0,4.3,2.6k
Maintenance Executive ,Panasonic-Life-Solutions,4-10yrs  ,"7,28,971",4.5,10.5,4.3,2.6k
Elevator Technician ,Panasonic-Life-Solutions,3-10yrs  ,"3,60,794",2.6,4.2,4.3,2.6k
Junior Process Agent ,Panasonic-Life-Solutions,1-5yrs  ,"3,44,861",2.5,4.6,4.3,2.6k
Installation Engineer ,Panasonic-Life-Solutions,1-12yrs  ,"2,85,167",2.5,4.5,4.3,2.6k
Design Engineer ,Adecco-Group,1-5yrs  ,"3,92,525",2.0,6.2,3.6,2.4k
Senior Engineer ,Adecco-Group,4-8yrs  ,"4,98,945",2.7,6.5,3.6,2.4k
Sales Engineer ,Adecco-Group,1-6yrs  ,"5,49,219",3.0,9.0,3.6,2.4k
Senior Sales Engineer ,Adecco-Group,4-13yrs  ,"3,04,201",1.8,4.8,3.6,2.4k
Process Agent ,Adecco-Group,4-7yrs  ,"6,33,876",2.6,13.0,3.6,2.4k
Technical Support Engineer ,Adecco-Group,1-5yrs  ,"3,63,753",2.4,5.0,3.6,2.4k
Maintenance Executive ,Adecco-Group,4-10yrs  ,"2,56,847",1.0,5.0,3.6,2.4k
Elevator Technician ,Adecco-Group,3-10yrs  ,"3,05,870",1.7,4.0,3.6,2.4k
Junior Process Agent ,Adecco-Group,1-5yrs  ,"3,28,737",1.5,4.5,3.6,2.4k
Installation Engineer ,Adecco-Group,1-12yrs  ,"5,81,033",1.5,10.0,3.6,2.4k
Design Engineer ,USV,1-5yrs  ,"5,17,420",3.3,6.9,4.1,2.2k
Senior Engineer ,USV,4-8yrs  ,"3,38,965",2.0,5.1,4.1,2.2k
Sales Engineer ,USV,1-6yrs  ,"3,55,475",1.7,5.2,4.1,2.2k
Senior Sales Engineer ,USV,4-13yrs  ,"7,43,223",5.3,8.9,4.1,2.2k
Process Agent ,USV,4-7yrs  ,"3,12,307",1.3,4.4,4.1,2.2k
Technical Support Engineer ,USV,1-5yrs  ,"3,49,098",1.9,5.1,4.1,2.2k
Maintenance Executive ,USV,4-10yrs  ,"7,40,044",4.8,10.0,4.1,2.2k
Elevator Technician ,USV,3-10yrs  ,"12,92,669",9.7,16.5,4.1,2.2k
Junior Process Agent ,USV,1-5yrs  ,"12,36,255",9.0,14.4,4.1,2.2k
Installation Engineer ,USV,1-12yrs  ,"5,37,607",3.0,7.0,4.1,2.2k
Design Engineer ,Karvy-Data-Management-Services,1-5yrs  ,"1,90,897",60.0,4.8,4.2,2.1k
Senior Engineer ,Karvy-Data-Management-Services,4-8yrs  ,"1,72,310",9.0,14.0,4.2,2.1k
Sales Engineer ,Karvy-Data-Management-Services,1-6yrs  ,"2,47,222",1.1,4.5,4.2,2.1k
Senior Sales Engineer ,Karvy-Data-Management-Services,4-13yrs  ,"1,62,579",10.0,3.5,4.2,2.1k
Process Agent ,Karvy-Data-Management-Services,4-7yrs  ,"2,09,082",1.0,3.4,4.2,2.1k
Technical Support Engineer ,Karvy-Data-Management-Services,1-5yrs  ,"2,63,702",1.1,3.3,4.2,2.1k
