Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
Officer ,Hikal,1-7yrs  ,"3,98,276",2.2,5.8,3.6,14.7k
Junior Officer ,Hikal,1-5yrs  ,"3,05,526",2.0,3.9,3.6,14.7k
Production Officer ,Hikal,1-6yrs  ,"3,49,344",2.2,5.3,3.6,14.7k
Executive Production ,Hikal,5-13yrs  ,"6,45,371",4.0,8.3,3.6,14.7k
QC Officer ,Hikal,1-6yrs  ,"3,53,688",2.6,4.7,3.6,14.7k
Scientist 1 ,Hikal,2-6yrs  ,"4,40,564",3.0,5.7,3.6,14.7k
Deputy Manager ,Hikal,8-16yrs  ,"12,08,714",6.9,17.5,3.6,14.7k
Junior Production Officer ,Hikal,1-3yrs  ,"2,85,277",2.0,3.7,3.6,14.7k
Process Engineer ,Hikal,1-7yrs  ,"5,64,978",3.6,9.0,3.6,14.7k
EHS Officer ,Hikal,1-7yrs  ,"3,98,604",2.7,5.4,3.6,14.7k
Officer ,Visionary-RCM-Infotech,1-7yrs  ,"3,46,968",1.0,8.4,4.3,6.3k
Junior Officer ,Visionary-RCM-Infotech,1-5yrs  ,"3,23,783",15.0,5.0,4.3,6.3k
Production Officer ,Visionary-RCM-Infotech,1-6yrs  ,"5,22,683",1.8,8.0,4.3,6.3k
Executive Production ,Visionary-RCM-Infotech,5-13yrs  ,"2,96,737",1.3,5.0,4.3,6.3k
QC Officer ,Visionary-RCM-Infotech,1-6yrs  ,"5,38,199",3.1,7.8,4.3,6.3k
Scientist 1 ,Visionary-RCM-Infotech,2-6yrs  ,"3,27,378",1.2,5.6,4.3,6.3k
Deputy Manager ,Visionary-RCM-Infotech,8-16yrs  ,"3,41,068",1.2,4.4,4.3,6.3k
Junior Production Officer ,Visionary-RCM-Infotech,1-3yrs  ,"6,58,243",3.3,8.5,4.3,6.3k
Process Engineer ,Visionary-RCM-Infotech,1-7yrs  ,"4,53,316",2.5,5.5,4.3,6.3k
EHS Officer ,Visionary-RCM-Infotech,1-7yrs  ,"4,19,913",2.0,6.3,4.3,6.3k
Officer ,SNC-Lavalin,1-7yrs  ,"8,70,000",6.0,12.5,4.1,4.9k
Junior Officer ,SNC-Lavalin,1-5yrs  ,"18,61,881",12.0,27.0,4.1,4.9k
Production Officer ,SNC-Lavalin,1-6yrs  ,"7,41,000",5.0,10.0,4.1,4.9k
Executive Production ,SNC-Lavalin,5-13yrs  ,"7,40,789",5.5,11.0,4.1,4.9k
QC Officer ,SNC-Lavalin,1-6yrs  ,"4,27,632",35.0,10.5,4.1,4.9k
Scientist 1 ,SNC-Lavalin,2-6yrs  ,"9,42,500",4.0,17.4,4.1,4.9k
Deputy Manager ,SNC-Lavalin,8-16yrs  ,"17,12,667",13.6,20.0,4.1,4.9k
Junior Production Officer ,SNC-Lavalin,1-3yrs  ,"11,98,214",9.0,17.0,4.1,4.9k
Process Engineer ,SNC-Lavalin,1-7yrs  ,"5,08,214",35.0,10.0,4.1,4.9k
EHS Officer ,SNC-Lavalin,1-7yrs  ,"10,87,857",2.9,24.0,4.1,4.9k
Officer ,HT-Media,1-7yrs  ,"2,71,375",1.7,3.8,4.1,4k
Junior Officer ,HT-Media,1-5yrs  ,"10,67,863",4.7,18.0,4.1,4k
Production Officer ,HT-Media,1-6yrs  ,"3,30,541",1.9,4.0,4.1,4k
Executive Production ,HT-Media,5-13yrs  ,"6,40,590",4.2,8.4,4.1,4k
QC Officer ,HT-Media,1-6yrs  ,"21,26,124",12.0,30.0,4.1,4k
Scientist 1 ,HT-Media,2-6yrs  ,"2,94,070",2.0,3.8,4.1,4k
Deputy Manager ,HT-Media,8-16yrs  ,"22,64,207",10.0,35.0,4.1,4k
Junior Production Officer ,HT-Media,1-3yrs  ,"7,89,789",5.0,12.5,4.1,4k
Process Engineer ,HT-Media,1-7yrs  ,"7,99,390",5.0,14.0,4.1,4k
EHS Officer ,HT-Media,1-7yrs  ,"6,24,796",4.3,8.0,4.1,4k
Officer ,Shriram-General-Insurance,1-7yrs  ,"2,41,778",1.3,3.5,3.9,3.6k
Junior Officer ,Shriram-General-Insurance,1-5yrs  ,"2,47,084",1.5,3.3,3.9,3.6k
Production Officer ,Shriram-General-Insurance,1-6yrs  ,"5,71,190",3.5,7.6,3.9,3.6k
Executive Production ,Shriram-General-Insurance,5-13yrs  ,"2,42,878",1.4,3.0,3.9,3.6k
QC Officer ,Shriram-General-Insurance,1-6yrs  ,"2,62,843",1.2,3.6,3.9,3.6k
Scientist 1 ,Shriram-General-Insurance,2-6yrs  ,"5,12,386",3.5,7.8,3.9,3.6k
Deputy Manager ,Shriram-General-Insurance,8-16yrs  ,"2,48,191",1.2,3.2,3.9,3.6k
Junior Production Officer ,Shriram-General-Insurance,1-3yrs  ,"4,09,841",3.0,5.0,3.9,3.6k
Process Engineer ,Shriram-General-Insurance,1-7yrs  ,"3,21,264",1.8,4.1,3.9,3.6k
EHS Officer ,Shriram-General-Insurance,1-7yrs  ,"3,70,566",2.0,5.7,3.9,3.6k
Officer ,GVPR-Engineers,1-7yrs  ,"6,11,363",3.4,8.5,4.2,3.1k
Junior Officer ,GVPR-Engineers,1-5yrs  ,"4,84,436",2.7,8.0,4.2,3.1k
Production Officer ,GVPR-Engineers,1-6yrs  ,"3,93,586",2.2,5.0,4.2,3.1k
Executive Production ,GVPR-Engineers,5-13yrs  ,"4,92,424",3.2,6.0,4.2,3.1k
QC Officer ,GVPR-Engineers,1-6yrs  ,"3,42,712",2.0,5.4,4.2,3.1k
Scientist 1 ,GVPR-Engineers,2-6yrs  ,"10,59,277",7.5,15.0,4.2,3.1k
Deputy Manager ,GVPR-Engineers,8-16yrs  ,"2,78,497",1.8,4.3,4.2,3.1k
Junior Production Officer ,GVPR-Engineers,1-3yrs  ,"3,69,098",1.8,5.2,4.2,3.1k
Process Engineer ,GVPR-Engineers,1-7yrs  ,"2,68,465",1.4,3.8,4.2,3.1k
EHS Officer ,GVPR-Engineers,1-7yrs  ,"3,70,214",2.4,5.5,4.2,3.1k
Officer ,Allianz-Technology,1-7yrs  ,"9,79,139",4.0,13.0,4.1,2.8k
Junior Officer ,Allianz-Technology,1-5yrs  ,"10,00,767",4.3,16.0,4.1,2.8k
Production Officer ,Allianz-Technology,1-6yrs  ,"4,78,308",2.5,9.0,4.1,2.8k
Executive Production ,Allianz-Technology,5-13yrs  ,"14,13,588",6.8,18.0,4.1,2.8k
QC Officer ,Allianz-Technology,1-6yrs  ,"10,11,604",3.5,16.4,4.1,2.8k
Scientist 1 ,Allianz-Technology,2-6yrs  ,"8,99,971",3.5,14.2,4.1,2.8k
Deputy Manager ,Allianz-Technology,8-16yrs  ,"13,88,375",7.2,20.7,4.1,2.8k
Junior Production Officer ,Allianz-Technology,1-3yrs  ,"5,22,814",2.7,11.0,4.1,2.8k
Process Engineer ,Allianz-Technology,1-7yrs  ,"5,09,949",2.6,7.1,4.1,2.8k
EHS Officer ,Allianz-Technology,1-7yrs  ,"18,31,985",9.1,26.0,4.1,2.8k
Officer ,Fusion-Microfinance,1-7yrs  ,"3,56,722",1.8,5.5,4.3,2.6k
Junior Officer ,Fusion-Microfinance,1-5yrs  ,"1,89,650",15.0,3.5,4.3,2.6k
Production Officer ,Fusion-Microfinance,1-6yrs  ,"2,03,919",1.1,3.0,4.3,2.6k
Executive Production ,Fusion-Microfinance,5-13yrs  ,"2,82,306",1.8,3.6,4.3,2.6k
QC Officer ,Fusion-Microfinance,1-6yrs  ,"2,68,832",1.8,3.3,4.3,2.6k
Scientist 1 ,Fusion-Microfinance,2-6yrs  ,"3,53,850",2.2,4.8,4.3,2.6k
Deputy Manager ,Fusion-Microfinance,8-16yrs  ,"2,94,736",1.9,4.0,4.3,2.6k
Junior Production Officer ,Fusion-Microfinance,1-3yrs  ,"3,88,839",2.8,5.2,4.3,2.6k
Process Engineer ,Fusion-Microfinance,1-7yrs  ,"2,34,199",1.7,3.3,4.3,2.6k
EHS Officer ,Fusion-Microfinance,1-7yrs  ,"6,85,437",5.2,8.2,4.3,2.6k
Officer ,Acme-Cleantech-Solutions,1-7yrs  ,"4,09,712",2.3,6.0,4.7,16
Junior Officer ,Acme-Cleantech-Solutions,1-5yrs  ,"5,75,229",3.5,7.9,4.7,16
Production Officer ,Acme-Cleantech-Solutions,1-6yrs  ,"11,53,235",7.2,17.0,4.7,16
Executive Production ,Acme-Cleantech-Solutions,5-13yrs  ,"2,26,198",1.2,3.2,4.7,16
QC Officer ,Acme-Cleantech-Solutions,1-6yrs  ,"5,57,686",3.8,6.8,4.7,16
Scientist 1 ,Acme-Cleantech-Solutions,2-6yrs  ,"2,33,014",1.6,3.0,4.7,16
Deputy Manager ,Acme-Cleantech-Solutions,8-16yrs  ,"4,52,777",2.6,6.3,4.7,16
Junior Production Officer ,Acme-Cleantech-Solutions,1-3yrs  ,"3,94,839",2.4,5.4,4.7,16
Process Engineer ,Acme-Cleantech-Solutions,1-7yrs  ,"2,53,516",1.0,3.6,4.7,16
EHS Officer ,Acme-Cleantech-Solutions,1-7yrs  ,"2,07,083",1.5,3.0,4.7,16
Officer ,Mswipe-Technologies,1-7yrs  ,"3,07,607",1.2,4.2,4.2,2.1k
Junior Officer ,Mswipe-Technologies,1-5yrs  ,"4,01,693",25.0,6.5,4.2,2.1k
Production Officer ,Mswipe-Technologies,1-6yrs  ,"5,30,254",9.0,10.5,4.2,2.1k
Executive Production ,Mswipe-Technologies,5-13yrs  ,"2,61,364",1.0,5.3,4.2,2.1k
QC Officer ,Mswipe-Technologies,1-6yrs  ,"4,76,507",2.2,8.0,4.2,2.1k
Scientist 1 ,Mswipe-Technologies,2-6yrs  ,"2,87,960",1.5,3.9,4.2,2.1k
Deputy Manager ,Mswipe-Technologies,8-16yrs  ,"2,47,303",1.8,3.7,4.2,2.1k
Junior Production Officer ,Mswipe-Technologies,1-3yrs  ,"2,46,545",1.8,3.3,4.2,2.1k
Process Engineer ,Mswipe-Technologies,1-7yrs  ,"3,87,488",2.8,5.0,4.2,2.1k
EHS Officer ,Mswipe-Technologies,1-7yrs  ,"2,51,668",1.8,3.6,4.2,2.1k
Officer ,Parekh-Integrated-Services,1-7yrs  ,"2,70,210",1.4,3.8,4.1,2k
Junior Officer ,Parekh-Integrated-Services,1-5yrs  ,"2,72,137",1.3,4.4,4.1,2k
Production Officer ,Parekh-Integrated-Services,1-6yrs  ,"3,30,492",1.6,5.9,4.1,2k
Executive Production ,Parekh-Integrated-Services,5-13yrs  ,"2,22,052",1.4,3.1,4.1,2k
QC Officer ,Parekh-Integrated-Services,1-6yrs  ,"2,94,690",1.2,4.1,4.1,2k
Scientist 1 ,Parekh-Integrated-Services,2-6yrs  ,"3,79,745",1.6,5.7,4.1,2k
Deputy Manager ,Parekh-Integrated-Services,8-16yrs  ,"2,53,162",1.5,3.8,4.1,2k
Junior Production Officer ,Parekh-Integrated-Services,1-3yrs  ,"3,18,310",2.0,5.0,4.1,2k
Process Engineer ,Parekh-Integrated-Services,1-7yrs  ,"3,22,837",1.8,5.5,4.1,2k
EHS Officer ,Parekh-Integrated-Services,1-7yrs  ,"2,34,876",1.7,3.4,4.1,2k
Officer ,Precision-Techserve,1-7yrs  ,"2,47,501",85.0,4.1,4.0,1.9k
Junior Officer ,Precision-Techserve,1-5yrs  ,"3,02,730",1.7,4.2,4.0,1.9k
Production Officer ,Precision-Techserve,1-6yrs  ,"2,25,695",1.2,3.3,4.0,1.9k
Executive Production ,Precision-Techserve,5-13yrs  ,"2,35,321",1.0,6.0,4.0,1.9k
QC Officer ,Precision-Techserve,1-6yrs  ,"3,00,999",1.2,6.0,4.0,1.9k
Scientist 1 ,Precision-Techserve,2-6yrs  ,"2,17,223",1.0,3.0,4.0,1.9k
Deputy Manager ,Precision-Techserve,8-16yrs  ,"4,03,427",2.1,6.2,4.0,1.9k
Junior Production Officer ,Precision-Techserve,1-3yrs  ,"2,11,589",1.3,2.8,4.0,1.9k
